order_id,order_datetime,customer_id,total_amount,num_items
2265,2024-02-09T23:33:40.762181,28,21.66,2
4671,2024-02-07T17:52:56.827907,10,19.03,3
14375,2024-02-04T22:32:37.172241,30,79.19,4
27562,2024-02-04T02:23:44.608309,5,39.32,3
31002,2024-02-10T02:50:03.862155,15,34.09,4
61368,2024-02-05T06:29:16.581946,25,11.41,2
74652,2024-02-05T04:42:11.509558,22,40.98,4
103714,2024-02-06T19:18:12.494879,9,46.08,5
128666,2024-02-08T04:02:53.906434,22,97.33,3
134001,2024-02-09T00:23:34.251783,18,47.36,3
135704,2024-02-04T16:21:41.689904,23,3.77,1
141157,2024-02-07T04:34:12.811663,4,58.92,4
141655,2024-02-06T09:29:03.156893,10,5.8,1
142317,2024-02-10T20:46:47.576476,16,42.77,3
146709,2024-02-04T04:59:17.522761,22,51.17,3
147132,2024-02-09T15:05:48.223048,25,16.54,2
150599,2024-02-04T10:14:01.770447,12,37.54,2
154334,2024-02-03T15:15:22.601932,2,41.99,3
171063,2024-02-04T11:54:36.872115,19,24.11,4
172584,2024-02-03T11:55:33.696282,6,22.03,2
174224,2024-02-04T06:55:12.401279,19,72.3,5
191039,2024-02-06T01:59:21.211293,6,26.9,1
222376,2024-02-04T06:11:11.594959,15,41.78,3
225440,2024-02-04T01:54:18.684157,13,48.88,4
232667,2024-02-04T22:22:11.326120,23,86.86,5
233413,2024-02-07T22:51:38.912905,7,31.86,2
235739,2024-02-06T04:10:10.180287,1,39.45,2
244301,2024-02-01T23:43:35.798013,2,26.92,5
248253,2024-02-04T00:40:56.893770,13,63.0,4
252096,2024-02-07T04:29:11.816615,30,44.7,4
262441,2024-02-06T17:26:17.825097,30,1.64,1
264932,2024-02-10T14:42:54.291224,30,63.96,3
270167,2024-02-07T03:48:31.895455,2,62.37,3
273449,2024-02-04T08:06:05.100076,5,10.04,1
281029,2024-02-10T21:11:07.205567,23,3.63,1
290402,2024-02-04T01:54:21.620385,30,18.31,2
294218,2024-02-09T11:40:29.554426,9,50.97,2
299066,2024-02-01T02:23:02.226228,10,20.48,2
303953,2024-02-05T11:02:49.018751,16,41.79,3
311622,2024-02-09T12:40:28.854248,25,42.82,3
326444,2024-02-07T03:55:14.131906,22,48.17,4
329229,2024-02-10T19:50:58.248665,16,35.55,2
332198,2024-02-06T17:45:30.245728,30,21.3,1
337194,2024-02-07T09:20:13.114281,24,9.15,2
389358,2024-02-04T05:18:09.141714,2,39.74,4
403992,2024-02-03T04:31:40.397846,8,42.64,4
