order_id,product_id,quantity,unit_price,line_total
2265,23,3,5.7,17.1
2265,30,4,1.14,4.56
4671,19,4,2.9,11.6
4671,28,1,3.77,3.77
4671,31,2,1.83,3.66
14375,9,1,9.19,9.19
14375,14,4,8.19,32.76
14375,18,4,6.46,25.84
14375,21,2,5.7,11.4
27562,8,1,7.74,7.74
27562,12,1,8.78,8.78
27562,23,4,5.7,22.8
31002,24,3,3.97,11.91
31002,28,4,3.77,15.08
31002,33,0,5.52,0.0
31002,34,1,7.1,7.1
61368,15,1,5.56,5.56
61368,16,1,5.85,5.85
74652,5,1,5.38,5.38
74652,10,5,1.43,7.15
74652,20,5,1.92,9.6
74652,28,5,3.77,18.85
103714,12,1,8.78,8.78
103714,22,3,1.21,3.63
103714,24,5,3.97,19.85
103714,30,4,1.14,4.56
103714,35,1,9.26,9.26
128666,1,5,8.05,40.25
128666,17,4,5.43,21.72
128666,36,4,8.84,35.36
134001,6,1,0.82,0.82
134001,33,2,5.52,11.04
134001,34,5,7.1,35.5
135704,28,1,3.77,3.77
141157,5,5,5.38,26.9
141157,11,2,5.63,11.26
141157,15,2,5.56,11.12
141157,32,4,2.41,9.64
141655,19,2,2.9,5.8
142317,10,5,1.43,7.15
142317,21,3,5.7,17.1
142317,35,2,9.26,18.52
146709,5,2,5.38,10.76
146709,23,5,5.7,28.5
146709,24,3,3.97,11.91
147132,29,2,4.72,9.44
147132,34,1,7.1,7.1
150599,12,4,8.78,35.12
150599,22,2,1.21,2.42
154334,1,2,8.05,16.1
154334,11,3,5.63,16.89
154334,26,4,2.25,9.0
171063,22,5,1.21,6.05
171063,23,2,5.7,11.4
171063,30,1,1.14,1.14
171063,33,1,5.52,5.52
172584,2,1,0.51,0.51
172584,5,4,5.38,21.52
174224,1,5,8.05,40.25
174224,18,1,6.46,6.46
174224,19,5,2.9,14.5
174224,28,1,3.77,3.77
174224,31,4,1.83,7.32
191039,5,5,5.38,26.9
222376,15,5,5.56,27.8
222376,17,1,5.43,5.43
